标签,疾病名字,top3,top5,top8,top10,备注：该类别训练样本数
1571.0,妊娠合并心肌炎,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
1572.0,妊娠合并心肌病,0.70(24/34),0.70(24/34),0.70(24/34),0.70(24/34),3
1573.0,妊娠合并心脏病,0.22(6/27),0.22(6/27),0.22(6/27),0.48(13/27),3
1574.0,妊娠合并急性心肌梗死,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
1575.0,妊娠合并急性肾功能不全,1.0(41/41),1.0(41/41),1.0(41/41),1.0(41/41),1
1576.0,妊娠合并急性胃肠炎,0.62(18/29),0.72(21/29),0.72(21/29),0.72(21/29),22
1577.0,妊娠合并急性胰腺炎,1.0(18/18),1.0(18/18),1.0(18/18),1.0(18/18),15
1578.0,妊娠合并急性阑尾炎,0.17(5/29),0.17(5/29),0.44(13/29),0.44(13/29),4
1579.0,妊娠合并性传播模式的感染,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1580.0,妊娠合并恶性肿瘤,0.30(8/26),0.30(8/26),0.46(12/26),0.46(12/26),7
1581.0,妊娠合并悬垂腹,0.38(13/34),0.38(13/34),0.38(13/34),0.38(13/34),3
1582.0,妊娠合并慢性肾功能不全,0.59(16/27),1.0(27/27),1.0(27/27),1.0(27/27),2
1583.0,妊娠合并慢性高血压,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),206
1584.0,妊娠合并支气管扩张症,0.41(13/31),0.41(13/31),0.41(13/31),0.41(13/31),2
1585.0,妊娠合并支气管炎,0.33(12/36),0.33(12/36),0.33(12/36),0.33(12/36),3
1586.0,妊娠合并梅毒,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1
1587.0,妊娠合并残角子宫,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
1588.0,妊娠合并泌尿生殖系统疾病,0.13(4/30),0.13(4/30),0.13(4/30),0.13(4/30),12
1589.0,妊娠合并消化系统疾病,0.58(21/36),0.58(21/36),0.58(21/36),0.58(21/36),8
1590.0,妊娠合并涉及免疫机制疾患,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),3
1591.0,妊娠合并湿疹,0.4(14/35),0.4(14/35),0.4(14/35),0.4(14/35),2
1592.0,妊娠合并特发性血小板减少性紫癜,0.39(11/28),0.39(11/28),0.57(16/28),0.57(16/28),8
1593.0,妊娠合并球拍状胎盘,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
1594.0,妊娠合并甲状腺功能亢进,0.06(2/32),0.06(2/32),0.12(4/32),0.12(4/32),20
1595.0,妊娠合并甲状腺功能减退,0.0(0/33),0.03(1/33),0.03(1/33),0.03(1/33),144
1596.0,妊娠合并甲状腺功能障碍,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),7
1597.0,妊娠合并病毒性疾病,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),3
1598.0,妊娠合并癫痫,0.25(9/36),0.27(10/36),0.27(10/36),0.27(10/36),12
1599.0,妊娠合并白色念珠菌性阴道炎,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
1600.0,妊娠合并白血病,0.51(16/31),0.51(16/31),0.51(16/31),0.51(16/31),4
1601.0,妊娠合并皮肤和皮下组织的疾病,0.0(0/30),0.0(0/30),1.0(30/30),1.0(30/30),1
1602.0,妊娠合并盆腔粘连,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
1603.0,妊娠合并真菌性阴道炎,0.88(24/27),1.0(27/27),1.0(27/27),1.0(27/27),4
1604.0,妊娠合并眼和附器疾病,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
1605.0,妊娠合并神经系统疾病,0.08(3/37),0.08(3/37),0.08(3/37),0.24(9/37),8
1606.0,妊娠合并窦性心动过速,0.46(13/28),0.53(15/28),0.60(17/28),0.64(18/28),15
1607.0,妊娠合并精神障碍,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),2
1608.0,妊娠合并糖尿病,0.0(0/32),0.0(0/32),0.03(1/32),0.03(1/32),98
1609.0,妊娠合并糖尿病性酮症,0.40(13/32),0.40(13/32),0.40(13/32),0.40(13/32),5
1610.0,妊娠合并糖耐量异常,0.56(14/25),0.56(14/25),0.56(14/25),0.56(14/25),4
1611.0,妊娠合并系统性红斑狼疮,0.33(10/30),0.5(15/30),0.53(16/30),0.53(16/30),15
1612.0,妊娠合并绒毛膜羊膜炎,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
1613.0,妊娠合并缺铁性贫血,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
1614.0,妊娠合并羊水过多,0.07(2/28),0.10(3/28),0.21(6/28),0.28(8/28),26
1615.0,妊娠合并羊水过少,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),525
1616.0,妊娠合并羊膜粘连,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),1
1617.0,妊娠合并羊膜腔感染,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),2
1618.0,妊娠合并耻骨联合分离,0.31(9/29),0.31(9/29),0.31(9/29),0.31(9/29),15
1619.0,妊娠合并肌肉骨骼系统和结缔组织疾病,0.65(21/32),0.65(21/32),0.65(21/32),0.65(21/32),7
1620.0,妊娠合并肝损害,0.81(22/27),0.81(22/27),0.81(22/27),0.81(22/27),5
1621.0,妊娠合并肝疾病,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),4
1622.0,妊娠合并肠梗阻,0.36(11/30),0.36(11/30),0.46(14/30),0.46(14/30),6
1623.0,妊娠合并肥胖,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
1624.0,妊娠合并肺动脉高压,0.2(6/30),0.2(6/30),0.2(6/30),0.2(6/30),4
1625.0,妊娠合并肺部感染,0.86(20/23),0.86(20/23),0.86(20/23),0.86(20/23),15
1626.0,妊娠合并肾炎,0.52(13/25),0.64(16/25),0.64(16/25),0.64(16/25),7
1627.0,妊娠合并肾病,0.12(4/33),0.12(4/33),0.12(4/33),0.12(4/33),7
1628.0,妊娠合并肾积水,0.25(8/32),0.25(8/32),0.25(8/32),0.25(8/32),6
1629.0,妊娠合并肾结石,0.27(10/36),0.55(20/36),0.55(20/36),0.55(20/36),3
1630.0,妊娠合并胆囊结石,0.16(6/36),0.27(10/36),0.27(10/36),0.41(15/36),8
1631.0,妊娠合并胸腔积液,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1632.0,妊娠合并脂肪肝,0.69(16/23),1.0(23/23),1.0(23/23),1.0(23/23),3
1633.0,妊娠合并脑肿瘤,0.57(16/28),0.57(16/28),0.57(16/28),0.57(16/28),3
1634.0,妊娠合并脑血管病,0.62(18/29),0.62(18/29),0.62(18/29),0.62(18/29),3
1635.0,妊娠合并腰椎间盘突出,0.38(14/36),0.38(14/36),0.61(22/36),0.61(22/36),5
1636.0,妊娠合并腹泻,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
1637.0,妊娠合并腹股沟疝,0.82(19/23),0.82(19/23),0.82(19/23),0.82(19/23),3
1638.0,妊娠合并腹膜囊肿,0.0(0/29),0.0(0/29),1.0(29/29),1.0(29/29),1
1639.0,妊娠合并良性肿瘤,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),2
1640.0,妊娠合并荨麻疹,0.51(14/27),1.0(27/27),1.0(27/27),1.0(27/27),2
1641.0,妊娠合并蛋白尿,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),16
1642.0,妊娠合并血友病,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
1643.0,妊娠合并血友病基因携带者,0.14(4/28),0.14(4/28),0.14(4/28),0.17(5/28),18
1644.0,妊娠合并血小板减少,0.08(3/36),0.08(3/36),0.08(3/36),0.08(3/36),39
1645.0,妊娠合并血液和造血器官疾病,0.34(10/29),0.48(14/29),0.48(14/29),0.48(14/29),8
1646.0,妊娠合并血管瘤,0.67(21/31),0.67(21/31),0.67(21/31),0.67(21/31),5
1647.0,妊娠合并贫血,0.15(5/32),0.15(5/32),0.25(8/32),0.25(8/32),24
1648.0,妊娠合并轻度贫血,0.19(6/31),0.19(6/31),0.19(6/31),0.19(6/31),8
1649.0,妊娠合并输卵管系膜囊肿,0.11(4/34),0.11(4/34),0.29(10/34),0.29(10/34),7
1650.0,妊娠合并输尿管结石,0.12(4/32),0.12(4/32),0.12(4/32),0.12(4/32),4
1651.0,妊娠合并过敏性哮喘,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
1652.0,妊娠合并重症肌无力,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
1653.0,妊娠合并银屑病,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1654.0,妊娠合并阑尾炎,0.56(13/23),0.65(15/23),0.65(15/23),0.73(17/23),11
1655.0,妊娠合并阴道囊肿,0.0(0/27),0.55(15/27),1.0(27/27),1.0(27/27),2
1656.0,妊娠合并附件扭转,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
1657.0,妊娠合并附件肿物,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),1
1658.0,妊娠合并面神经炎,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
1659.0,妊娠合并预激综合征,0.48(15/31),0.48(15/31),0.48(15/31),0.48(15/31),6
1660.0,妊娠合并风湿性关节炎,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1661.0,妊娠合并饥饿性酮症,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),2
1662.0,妊娠合并骨髓异常增生综合征,0.42(14/33),0.63(21/33),0.63(21/33),0.63(21/33),5
1663.0,妊娠合并高度近视,0.33(8/24),0.54(13/24),0.58(14/24),0.62(15/24),105
1664.0,妊娠合并高泌乳素血症,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),2
1665.0,妊娠合并高脂血症,1.0(37/37),1.0(37/37),1.0(37/37),1.0(37/37),1
1666.0,妊娠合并高血压,0.29(9/31),0.29(9/31),0.29(9/31),0.29(9/31),5
1667.0,妊娠合并高血压心脏病和肾病,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
1668.0,妊娠晚期剧吐,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),2
1669.0,妊娠期乳腺脓肿,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1670.0,妊娠期合并支气管哮喘,0.19(6/31),0.25(8/31),0.32(10/31),0.32(10/31),14
1671.0,妊娠期外阴静脉曲张,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),2
1672.0,妊娠期子痫,0.63(19/30),0.63(19/30),0.63(19/30),0.63(19/30),3
1673.0,妊娠期宫腔感染,0.47(11/23),0.69(16/23),0.82(19/23),0.82(19/23),20
1674.0,妊娠期急性脂肪肝,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),3
1675.0,妊娠期泌尿生殖道感染,0.59(13/22),1.0(22/22),1.0(22/22),1.0(22/22),4
1676.0,妊娠期泌尿道感染,0.66(22/33),0.75(25/33),0.75(25/33),0.75(25/33),6
1677.0,妊娠期深静脉血栓形成,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
1678.0,妊娠期生殖道感染,0.84(22/26),0.84(22/26),0.84(22/26),0.96(25/26),6
1679.0,妊娠期痔,0.48(17/35),0.48(17/35),0.48(17/35),0.48(17/35),2
1680.0,妊娠期痔出血,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),1
1681.0,妊娠期盆腔炎,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
1682.0,妊娠期短暂性高血压,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),9
1683.0,妊娠期糖尿病,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1078
1684.0,妊娠期细菌性阴道炎,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),1
1685.0,妊娠期肝内胆汁淤积症,0.02(1/40),0.02(1/40),0.02(1/40),0.02(1/40),23
1686.0,妊娠期肾盂肾炎,0.29(10/34),0.29(10/34),0.29(10/34),0.29(10/34),3
1687.0,妊娠期营养不良,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
1688.0,妊娠期贫血,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
1689.0,妊娠期轻度贫血,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1690.0,妊娠期重度贫血,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
1691.0,妊娠期阴道炎,0.21(6/28),0.21(6/28),0.21(6/28),0.21(6/28),3
1692.0,妊娠期高血压,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),192
1693.0,妊娠状态,0.13(3/22),0.59(13/22),0.59(13/22),0.59(13/22),19
1694.0,妊娠监督,0.08(2/25),0.16(4/25),0.2(5/25),0.2(5/25),146
1695.0,姑息医疗,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
1696.0,姿位性低血压[神经源性直立性低血压][夏伊-德雷格尔综合征],1.0(16/16),1.0(16/16),1.0(16/16),1.0(16/16),1
1697.0,威斯科特-奥尔德里奇综合征[Wiskott-Aldrich综合征],1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
1698.0,婴儿喘息性支气管肺炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
1699.0,婴儿支气管肺炎,0.26(9/34),0.55(19/34),0.79(27/34),0.79(27/34),5
1700.0,婴儿肠炎,0.48(13/27),0.55(15/27),0.62(17/27),0.62(17/27),35
1701.0,婴儿贫血,0.0(0/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1702.0,婴儿进行性大脑变性,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
1703.0,子宫不全纵隔,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
1704.0,子宫不规则出血,0.31(11/35),0.31(11/35),0.31(11/35),0.31(11/35),4
1705.0,子宫体恶性肿瘤,0.0(0/31),0.0(0/31),0.19(6/31),0.19(6/31),8
1706.0,子宫内粘连,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),27
1707.0,子宫内膜不典型性增生,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),78
1708.0,子宫内膜单纯性增生,0.03(1/31),0.09(3/31),0.09(3/31),0.09(3/31),23
1709.0,子宫内膜增生,0.0(0/26),0.0(0/26),0.0(0/26),0.0(0/26),474
1710.0,子宫内膜复杂性增生,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),39
1711.0,子宫内膜异位,0.25(6/24),0.5(12/24),0.5(12/24),0.5(12/24),6
1712.0,子宫内膜息肉,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1361
1713.0,子宫内膜息肉样增生,0.0(0/24),0.04(1/24),0.16(4/24),0.16(4/24),178
1714.0,子宫内膜恶性肿瘤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),286
1715.0,子宫内膜炎,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),28
1716.0,子宫内膜结核,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1717.0,子宫内膜萎缩,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),1
1718.0,子宫内避孕装置的监督,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
1719.0,子宫切口憩室,0.12(4/31),0.12(4/31),0.12(4/31),0.12(4/31),8
1720.0,子宫切除术后阴道穹隆脱垂,0.71(20/28),0.71(20/28),0.71(20/28),0.71(20/28),5
1721.0,子宫动静脉畸形,0.0(0/43),0.0(0/43),0.0(0/43),0.0(0/43),1
1722.0,子宫卵巢继发恶性肿瘤,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
1723.0,子宫及卵巢恶性肿瘤,0.38(13/34),0.38(13/34),0.38(13/34),0.38(13/34),2
1724.0,子宫囊肿,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),2
1725.0,子宫多发性平滑肌瘤,0.0(0/24),0.04(1/24),0.12(3/24),0.12(3/24),514
1726.0,子宫平滑肌瘤,0.0(0/25),0.0(0/25),0.0(0/25),0.0(0/25),895
1727.0,子宫息肉,0.03(1/29),0.03(1/29),0.06(2/29),0.06(2/29),13
1728.0,子宫恶性肿瘤,0.63(14/22),0.63(14/22),0.77(17/22),0.77(17/22),26
1729.0,子宫旁动静脉瘘,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),2
1730.0,子宫浆膜下平滑肌瘤,0.0(0/27),0.0(0/27),0.0(0/27),0.0(0/27),34
1731.0,子宫积脓,0.61(19/31),0.61(19/31),0.61(19/31),0.61(19/31),4
1732.0,子宫积血,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),1
1733.0,子宫粘膜下平滑肌瘤,0.16(4/25),0.2(5/25),0.2(5/25),0.2(5/25),156
1734.0,子宫粘连,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),55
1735.0,子宫粘连性不孕,0.60(14/23),0.60(14/23),1.0(23/23),1.0(23/23),2
1736.0,子宫纵隔,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),10
1737.0,子宫继发恶性肿瘤,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
1738.0,子宫肌壁间平滑肌瘤,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),131
1739.0,子宫肌腺症,0.07(2/28),0.07(2/28),0.10(3/28),0.14(4/28),217
1740.0,子宫脓肿,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),1
1741.0,子宫脱垂II度,0.25(8/31),0.45(14/31),0.45(14/31),0.45(14/31),20
1742.0,子宫脱垂I度,0.35(10/28),0.35(10/28),0.57(16/28),0.57(16/28),5
1743.0,子宫脱垂Ⅲ度,0.73(19/26),0.88(23/26),0.88(23/26),0.88(23/26),40
1744.0,子宫腔积液,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),26
1745.0,子宫腹壁瘘,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1746.0,子宫腺肌瘤,0.30(7/23),0.30(7/23),0.43(10/23),0.52(12/23),62
1747.0,子宫良性肿瘤,0.0(0/32),0.40(13/32),0.40(13/32),0.40(13/32),4
1748.0,子宫角妊娠,0.86(19/22),0.86(19/22),0.86(19/22),0.86(19/22),23
1749.0,子宫阴道不完全性脱垂,0.73(17/23),0.73(17/23),0.78(18/23),0.82(19/23),49
1750.0,子宫阴道完全脱垂,0.82(19/23),0.95(22/23),0.95(22/23),0.95(22/23),38
1751.0,子宫阴道脱垂,0.89(25/28),0.89(25/28),0.89(25/28),0.89(25/28),7
1752.0,子宫附件恶性肿瘤,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
1753.0,子宫韧带子宫内膜异位症,0.44(13/29),0.44(13/29),0.44(13/29),0.44(13/29),2
1754.0,子宫颈上皮内瘤变III级[CINIII级],0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),132
1755.0,子宫颈上皮瘤样病变,0.0(0/34),0.0(0/34),0.02(1/34),0.02(1/34),12
1756.0,子宫颈上皮瘤样病变[CIN]I级,0.0(0/30),0.0(0/30),0.06(2/30),0.06(2/30),15
1757.0,子宫颈内膜原位癌,0.62(15/24),0.62(15/24),0.62(15/24),0.62(15/24),3
1758.0,子宫颈原位癌,0.0(0/33),0.0(0/33),0.18(6/33),0.18(6/33),16
1759.0,子宫颈及阴道恶性肿瘤,1.0(41/41),1.0(41/41),1.0(41/41),1.0(41/41),1
1760.0,子宫颈壁内平滑肌瘤,0.44(11/25),0.44(11/25),0.44(11/25),0.44(11/25),2
1761.0,子宫颈妊娠,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),17
1762.0,子宫颈平滑肌瘤,0.02(1/38),0.02(1/38),0.02(1/38),0.02(1/38),27
1763.0,子宫颈延长,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),3
1764.0,子宫颈息肉,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),205
1765.0,子宫颈恶性肿瘤,0.0(0/28),0.03(1/28),0.03(1/28),0.03(1/28),190
1766.0,子宫颈潴留囊肿,0.0(0/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1767.0,子宫颈炎,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
1768.0,子宫颈狭窄,0.18(6/32),0.18(6/32),0.18(6/32),0.18(6/32),3
1769.0,子宫颈粘膜下平滑肌瘤,0.84(16/19),0.89(17/19),1.0(19/19),1.0(19/19),12
1770.0,子宫颈糜烂,0.42(14/33),0.42(14/33),0.42(14/33),0.42(14/33),2
1771.0,子宫颈肥大,0.0(0/44),0.0(0/44),0.0(0/44),0.0(0/44),1
1772.0,子宫颈良性肿瘤,0.0(0/31),0.0(0/31),0.35(11/31),0.35(11/31),3
1773.0,子宫颈赘生物,0.07(2/26),0.19(5/26),0.19(5/26),0.5(13/26),25
1774.0,子宫颈闭锁,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
1775.0,子痫,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),2
1776.0,孔源性视网膜脱离[原发性视网膜脱离],0.07(2/28),0.60(17/28),0.78(22/28),0.82(23/28),140
1777.0,孕15周,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
1778.0,孕16周,1.0(17/17),1.0(17/17),1.0(17/17),1.0(17/17),1
1779.0,孕19周,0.0(0/46),0.0(0/46),0.0(0/46),0.0(0/46),1
1780.0,孕20周,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
1781.0,孕29周,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
1782.0,孕31周,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
1783.0,孕32周,0.51(14/27),0.51(14/27),0.51(14/27),0.51(14/27),2
1784.0,孕35周,0.51(16/31),0.51(16/31),0.51(16/31),0.51(16/31),2
1785.0,孕36周,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1786.0,孕37周,0.0(0/27),0.44(12/27),0.44(12/27),0.66(18/27),4
1787.0,孕6周,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
1788.0,孕7周,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),2
1789.0,孟氏骨折,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
1790.0,安定中毒,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
1791.0,安眠药中毒,0.31(10/32),0.31(10/32),0.31(10/32),0.31(10/32),6
1792.0,完全性右束支传导阻滞,0.48(14/29),0.68(20/29),0.75(22/29),0.75(22/29),21
1793.0,完全性左束支传导阻滞,0.66(18/27),0.66(18/27),0.66(18/27),0.66(18/27),9
1794.0,完全性流产,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
1795.0,完全性肠梗阻,0.0(0/38),0.02(1/38),0.05(2/38),0.05(2/38),17
1796.0,完全性葡萄胎,0.0(0/39),0.0(0/39),0.0(0/39),0.0(0/39),6
1797.0,实验室检查,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
1798.0,室上性心动过速,0.37(10/27),0.51(14/27),0.66(18/27),0.70(19/27),48
1799.0,室壁瘤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),2
1800.0,室性心动过速,0.0(0/35),0.08(3/35),0.11(4/35),0.2(7/35),95
1801.0,室性心律失常,0.63(19/30),0.63(19/30),0.63(19/30),0.8(24/30),5
1802.0,室性期前收缩,0.0(0/29),0.0(0/29),0.06(2/29),0.13(4/29),149
1803.0,室性自搏,0.61(21/34),0.61(21/34),0.61(21/34),0.61(21/34),3
1804.0,室性逸搏,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1805.0,室间隔缺损,0.11(4/34),0.14(5/34),0.14(5/34),0.14(5/34),13
1806.0,室间隔肥大,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
1807.0,宫腔占位,0.03(1/28),0.03(1/28),0.07(2/28),0.07(2/28),35
1808.0,宫颈上皮瘤样病变[CIN]II级,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),14
1809.0,宫颈粘液性息肉,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
1810.0,宫颈粘连,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),29
1811.0,宫颈难产,0.0(0/30),0.43(13/30),0.43(13/30),0.76(23/30),3
1812.0,家庭火炉的一氧化碳中毒,0.13(4/30),0.13(4/30),0.13(4/30),0.13(4/30),17
1813.0,家族性噬血细胞淋巴组织细胞增生症,0.44(13/29),0.72(21/29),0.75(22/29),0.75(22/29),18
1814.0,家族性息肉病,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
1815.0,家族性肺动脉高压,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
1816.0,宽QRS心动过速,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
1817.0,对精神有影响的药物中毒,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
1818.0,寻常型天疱疮[恶性天疱疮],1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
1819.0,寻常型银屑病,0.92(26/28),0.92(26/28),0.92(26/28),0.92(26/28),36
1820.0,寻常型间质性肺炎,0.61(16/26),0.61(16/26),0.61(16/26),0.61(16/26),3
1821.0,寻常疣,0.28(8/28),0.28(8/28),0.5(14/28),0.67(19/28),4
1822.0,射精管囊肿,0.0(0/25),0.0(0/25),0.2(5/25),0.2(5/25),8
1823.0,射精管狭窄,0.0(0/26),0.0(0/26),0.0(0/26),0.0(0/26),1
1824.0,小儿肠炎,1.0(18/18),1.0(18/18),1.0(18/18),1.0(18/18),9
1825.0,小肠交界性肿瘤,0.22(6/27),0.22(6/27),0.22(6/27),0.22(6/27),6
1826.0,小肠克罗恩病,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),4
1827.0,小肠内异物,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),2
1828.0,小肠息肉,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
1829.0,小肠恶性肿瘤,0.0(0/43),0.0(0/43),0.0(0/43),0.0(0/43),22
1830.0,小肠憩室,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),2
1831.0,小肠憩室炎,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
1832.0,小肠损伤,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
1833.0,小肠毛细血管扩张,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
1834.0,小肠淋巴瘤,0.8(20/25),0.8(20/25),0.8(20/25),0.8(20/25),4
1835.0,小肠溃疡,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),3
1836.0,小肠溃疡伴出血,0.48(13/27),0.48(13/27),0.48(13/27),0.48(13/27),5
1837.0,小肠疝,0.34(10/29),0.34(10/29),0.34(10/29),0.34(10/29),6
1838.0,小肠破裂,0.24(6/25),0.24(6/25),0.24(6/25),0.24(6/25),9
1839.0,小肠穿孔,0.37(11/29),0.37(11/29),0.37(11/29),0.37(11/29),26
1840.0,小肠继发恶性肿瘤,0.57(19/33),0.57(19/33),0.57(19/33),0.57(19/33),2
1841.0,小肠良性肿瘤,0.86(20/23),1.0(23/23),1.0(23/23),1.0(23/23),6
1842.0,小肠血管畸形,0.32(9/28),0.32(9/28),0.32(9/28),0.64(18/28),4
1843.0,小肠血管瘤,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),3
